timestamp,session_id,image_id,image_source,ground_truth_label,predicted_label,confidence_score,capture_time_ms,api_latency_ms,total_latency_ms,client_api_latency_ms,client_total_latency_ms,inference_time_ms,api_status,error_message,user_action,detection_type,browser,os,network_type,capture_start,capture_end,backend_receive,api_request_start,api_response_end,notification_sent,device_model,user_agent
2025-11-13T02:18:05.613204Z,sess-1,img-1,,,,,,,,unknown,,,,,,,,,,,,,
2025-11-13T03:41:03.164Z,sess-azybw83thyf-mhwu1kt7,img-95f5a1ad41e45f32,dataurl,,REAL,0.99,,2676.0001182556152,2729.0000915527344,2676.0,2729.0,2676.0,success,,On-click detect,On-click detect,Edge,Windows,unknown,1763005260.434,,,1763005260.487,1763005263.163,1763005263.163,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"
2025-11-13T03:41:36.649Z,sess-azybw83thyf-mhwu1kt7,img-07022606e746b2bc,dataurl,,REAL,0.98,,2167.0000553131104,2246.999979019165,2167.0,2247.0,2167.0,success,,On-click detect,On-click detect,Edge,Windows,unknown,1763005294.402,,,1763005294.481,1763005296.648,1763005296.649,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"
2025-11-13T03:42:10.519Z,sess-azybw83thyf-mhwu1kt7,img-d4f6b3b2c93c8cf6,dataurl,,FAKE,0.99,,2427.999973297119,2533.9999198913574,2428.0,2534.0,2428.0,success,,On-click detect,On-click detect,Edge,Windows,unknown,1763005327.984,,,1763005328.09,1763005330.518,1763005330.518,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"
2025-11-13T03:43:31.355Z,sess-azybw83thyf-mhwu1kt7,img-c687f4bcc4593b85,https://th.bing.com/th/id/OIP.M_uHkB6jQb94uyhueGHjuAHaE8?w=301&h=180&c=7&r=0&o=7&cb=ucfimgc2&dpr=1.3&pid=1.7&rm=3,,FAKE,0.83,,1963.9999866485596,1974.9999046325684,1964.0,1975.0,1964.0,success,,On-click detect,On-click detect,Edge,Windows,unknown,1763005409.374,,,1763005409.383,1763005411.347,1763005411.349,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"
2025-11-13T03:44:06.072Z,sess-azybw83thyf-mhwu1kt7,img-58898fa15c56c90f,https://scontent.fcgy3-2.fna.fbcdn.net/v/t39.30808-6/582620502_1267358325430300_4912643153329524972_n.jpg?stp=dst-jpg_s590x590_tt6&_nc_cat=110&ccb=1-7&_nc_sid=127cfc&_nc_eui2=AeGp_CEYkvHycOKDU8zZgTCrNnW-JbDEeTM2db4lsMR5M_UE0AzO3waoIqKDbNC0RR5N-_134Uf9DurEWxNYayLC&_nc_ohc=5Wad-I8a8S0Q7kNvwFSebrA&_nc_oc=AdkHBDJrIa-Ss8ErQSpMeX77Ju-eJYa66Dzx92cF8vFk3vyib_UB7ECPxOpKYfQnFVs&_nc_zt=23&_nc_ht=scontent.fcgy3-2.fna&_nc_gid=cvwXbHvDK-QhUmjvgokxZw&oh=00_AfiW-C8ciirDtNG8E7UVl6pgVAcYw9qpyNws5BZsJEu4PQ&oe=691B1579,,REAL,0.99,,1746.999979019165,1791.0001277923584,1747.0,1791.0,1747.0,success,,On-click detect,On-click detect,Edge,Windows,unknown,1763005444.281,,,1763005444.325,1763005446.072,1763005446.072,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"
2025-11-13T03:44:07.690Z,sess-azybw83thyf-mhwu1kt7,img-58898fa15c56c90f,https://scontent.fcgy3-2.fna.fbcdn.net/v/t39.30808-6/582620502_1267358325430300_4912643153329524972_n.jpg?stp=dst-jpg_s590x590_tt6&_nc_cat=110&ccb=1-7&_nc_sid=127cfc&_nc_eui2=AeGp_CEYkvHycOKDU8zZgTCrNnW-JbDEeTM2db4lsMR5M_UE0AzO3waoIqKDbNC0RR5N-_134Uf9DurEWxNYayLC&_nc_ohc=5Wad-I8a8S0Q7kNvwFSebrA&_nc_oc=AdkHBDJrIa-Ss8ErQSpMeX77Ju-eJYa66Dzx92cF8vFk3vyib_UB7ECPxOpKYfQnFVs&_nc_zt=23&_nc_ht=scontent.fcgy3-2.fna&_nc_gid=cvwXbHvDK-QhUmjvgokxZw&oh=00_AfiW-C8ciirDtNG8E7UVl6pgVAcYw9qpyNws5BZsJEu4PQ&oe=691B1579,,REAL,0.99,,3361.999988555908,3407.0000648498535,3362.0,3407.0,3362.0,success,,On-click detect,On-click detect,Edge,Windows,unknown,1763005444.283,,,1763005444.327,1763005447.689,1763005447.69,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"
2025-11-13T03:44:15.469Z,sess-azybw83thyf-mhwu1kt7,img-bb75cd69ac1e4b02,https://scontent.fcgy3-1.fna.fbcdn.net/v/t39.30808-6/581943892_1267358802096919_8233611110029213339_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=127cfc&_nc_eui2=AeGJP3BBaEvdzxK18Enr1huj0-9dDz0MtL3T710PPQy0vU1ectiyyIS9O_EN8l5HA3fS3ZbMUfo2aHFGCRe_lppq&_nc_ohc=tjsKcUqkJQgQ7kNvwH71HX5&_nc_oc=AdlIZ5y2HmK9-xzfFJdxG4nSciSfUzfbjwQgRs_1XspGtp5MXx1DZhNKwNQrN3p4qB8&_nc_zt=23&_nc_ht=scontent.fcgy3-1.fna&_nc_gid=PxNWqdIs6r98-dGKgUI4LA&oh=00_Afj528cjmOBuwICtiouuRij6wAapX6wITxeJMEF5WbmrQg&oe=691B2BD3,,REAL,0.98,,2778.0001163482666,2898.0000019073486,2778.0,2898.0,2778.0,success,,On-click detect,On-click detect,Edge,Windows,unknown,1763005452.571,,,1763005452.691,1763005455.469,1763005455.469,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"
2025-11-13T03:44:18.038Z,sess-azybw83thyf-mhwu1kt7,img-bb75cd69ac1e4b02,https://scontent.fcgy3-1.fna.fbcdn.net/v/t39.30808-6/581943892_1267358802096919_8233611110029213339_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=127cfc&_nc_eui2=AeGJP3BBaEvdzxK18Enr1huj0-9dDz0MtL3T710PPQy0vU1ectiyyIS9O_EN8l5HA3fS3ZbMUfo2aHFGCRe_lppq&_nc_ohc=tjsKcUqkJQgQ7kNvwH71HX5&_nc_oc=AdlIZ5y2HmK9-xzfFJdxG4nSciSfUzfbjwQgRs_1XspGtp5MXx1DZhNKwNQrN3p4qB8&_nc_zt=23&_nc_ht=scontent.fcgy3-1.fna&_nc_gid=PxNWqdIs6r98-dGKgUI4LA&oh=00_Afj528cjmOBuwICtiouuRij6wAapX6wITxeJMEF5WbmrQg&oe=691B2BD3,,REAL,0.98,,5345.0000286102295,5465.000152587891,5345.0,5465.0,5345.0,success,,On-click detect,On-click detect,Edge,Windows,unknown,1763005452.573,,,1763005452.693,1763005458.038,1763005458.038,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"
2025-11-13T03:46:09.827Z,sess-azybw83thyf-mhwu1kt7,img-bb75cd69ac1e4b02,https://scontent.fcgy3-1.fna.fbcdn.net/v/t39.30808-6/581943892_1267358802096919_8233611110029213339_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=127cfc&_nc_eui2=AeGJP3BBaEvdzxK18Enr1huj0-9dDz0MtL3T710PPQy0vU1ectiyyIS9O_EN8l5HA3fS3ZbMUfo2aHFGCRe_lppq&_nc_ohc=tjsKcUqkJQgQ7kNvwH71HX5&_nc_oc=AdlIZ5y2HmK9-xzfFJdxG4nSciSfUzfbjwQgRs_1XspGtp5MXx1DZhNKwNQrN3p4qB8&_nc_zt=23&_nc_ht=scontent.fcgy3-1.fna&_nc_gid=PxNWqdIs6r98-dGKgUI4LA&oh=00_Afj528cjmOBuwICtiouuRij6wAapX6wITxeJMEF5WbmrQg&oe=691B2BD3,,REAL,0.98,,3535.0000858306885,3543.9999103546143,3535.0,3544.0,3535.0,success,,On-click detect,On-click detect,Edge,Windows,unknown,1763005566.282,,,1763005566.291,1763005569.826,1763005569.826,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"
2025-11-13T03:46:19.548Z,sess-azybw83thyf-mhwu1kt7,img-bb75cd69ac1e4b02,https://scontent.fcgy3-1.fna.fbcdn.net/v/t39.30808-6/581943892_1267358802096919_8233611110029213339_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=127cfc&_nc_eui2=AeGJP3BBaEvdzxK18Enr1huj0-9dDz0MtL3T710PPQy0vU1ectiyyIS9O_EN8l5HA3fS3ZbMUfo2aHFGCRe_lppq&_nc_ohc=tjsKcUqkJQgQ7kNvwH71HX5&_nc_oc=AdlIZ5y2HmK9-xzfFJdxG4nSciSfUzfbjwQgRs_1XspGtp5MXx1DZhNKwNQrN3p4qB8&_nc_zt=23&_nc_ht=scontent.fcgy3-1.fna&_nc_gid=PxNWqdIs6r98-dGKgUI4LA&oh=00_Afj528cjmOBuwICtiouuRij6wAapX6wITxeJMEF5WbmrQg&oe=691B2BD3,,REAL,0.98,,13253.000020980835,13268.999814987183,13253.0,13269.0,13253.0,success,,On-click detect,On-click detect,Edge,Windows,unknown,1763005566.278,,,1763005566.293,1763005579.546,1763005579.547,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"
